Started At,Completed At,Completion Status,Device Type,Browser,Organization Uuid,Segment,Organizationscountry,Utm Medium,Utm Source,Utm Campaign,1. 1. ¿Cómo conociste sobre iZettle?,"2. 2. En general, ¿cuál es tu grado de satisfacción con iZettle?",3. 3. ¿Qué tan probable es que recomiendes iZettle a tus amigos o colegas?,"4.1. 4. ¿Podrías indicar, en una escala del 1 al 5, cuál es tu grado de satisfacción con los siguientes aspectos? Atención al cliente","4.2. 4. ¿Podrías indicar, en una escala del 1 al 5, cuál es tu grado de satisfacción con los siguientes aspectos? Informes de ventas","4.3. 4. ¿Podrías indicar, en una escala del 1 al 5, cuál es tu grado de satisfacción con los siguientes aspectos? Importe total que puedes aceptar en cada pago con tarjeta","4.4. 4. ¿Podrías indicar, en una escala del 1 al 5, cuál es tu grado de satisfacción con los siguientes aspectos? Comisiones de pago","4.5. 4. ¿Podrías indicar, en una escala del 1 al 5, cuál es tu grado de satisfacción con los siguientes aspectos? Ofrecerles a tus clientes un recibo","4.6. 4. ¿Podrías indicar, en una escala del 1 al 5, cuál es tu grado de satisfacción con los siguientes aspectos? Lector de tarjetas","4.7. 4. ¿Podrías indicar, en una escala del 1 al 5, cuál es tu grado de satisfacción con los siguientes aspectos? Esfuerzo comunicativo (por ejemplo, sobre nuevas características o versiones de iZettle, consejos y trucos, actualizaciones de la cuenta)","4.8. 4. ¿Podrías indicar, en una escala del 1 al 5, cuál es tu grado de satisfacción con los siguientes aspectos? Depósitos","4.9. 4. ¿Podrías indicar, en una escala del 1 al 5, cuál es tu grado de satisfacción con los siguientes aspectos? Compatibilidad con accesorios (por ejemplo, impresoras, soportes, lectores de códigos de barras, etc.)","4.10. 4. ¿Podrías indicar, en una escala del 1 al 5, cuál es tu grado de satisfacción con los siguientes aspectos? Tu cuenta en my.izettle.com","4.11. 4. ¿Podrías indicar, en una escala del 1 al 5, cuál es tu grado de satisfacción con los siguientes aspectos? Aceptación de pagos","5. 5. Por lo que sabes, ¿cuáles de los siguientes productos, servicios o soluciones puede ofrecer iZettle a los pequeños negocios?",,,,,,,,,"6. 6. Siempre intentamos ampliar y mejorar el servicio que ofrecemos a nuestros clientes. Por favor, explica a continuación si hay algo que te disguste especialmente:","7. 7. Siempre intentamos ampliar y mejorar el servicio que ofrecemos a nuestros clientes. Por favor, explica a continuación si echas en falta alguna característica en nuestro servicio:"
2019-05-08 13:35:01 UTC,2019-05-08 13:37:37 UTC,completed,android,Chrome 74.0.3729.136,0c75d0be-2b33-11e9-adcd-98b50e1c1796,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Redes sociales,10,10,5,5,5,5,NA,NA,5,5,5,5,5,,,,,,,,,Ninguno de las anteriores,Todo bien,Ninguno
2019-05-08 13:54:33 UTC,2019-05-08 13:57:28 UTC,completed,android,Chrome 74.0.3729.136,d971bed4-2b01-11e9-a0bc-fc57a1a8378f,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Alguien me lo recomendó,10,10,5,5,5,5,4,5,5,5,NA,NA,5,,Sistema de punto de venta,,Herramientas para gestionar el inventario,Herramientas para controlar y analizar las ventas,,Lector de tarjetas,Herramientas de contabilidad,,Nada por el momento,Ninguna
2019-05-08 14:13:06 UTC,2019-05-08 14:15:29 UTC,completed,ios,Safari 12.1,41410c7a-2b27-11e9-b800-20374ba46880,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Costco,10,10,4,1,3,1,5,5,3,4,NA,4,5,"Complementos para cajas registradoras (por ejemplo, impresora de recibos, lector de códigos de barras, etc.)",Sistema de punto de venta,,Herramientas para gestionar el inventario,Herramientas para controlar y analizar las ventas,,Lector de tarjetas,Herramientas de contabilidad,,Las altas comisiones,N/a
2019-05-08 15:02:05 UTC,2019-05-08 15:06:33 UTC,completed,windows,Chrome 74.0.3729.131,96f00940-5243-11e8-8dbd-7802586f16ef,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Publicidad exterior,9,9,5,5,5,4,5,5,5,4,4,5,5,"Complementos para cajas registradoras (por ejemplo, impresora de recibos, lector de códigos de barras, etc.)",,,,,,Lector de tarjetas,,,Sin observaciones,Sin observaciones
2019-05-08 15:34:43 UTC,2019-05-08 15:37:18 UTC,completed,ios,Safari 12.1,cb82d964-2b17-11e9-a006-47c93928051c,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Yo pagué algo con iZettle o vi a alguien hacerlo,10,10,5,5,5,4,5,5,5,5,5,5,5,,Sistema de punto de venta,,Herramientas para gestionar el inventario,,,Lector de tarjetas,,,Nada en especial,Ninguna
2019-05-08 17:08:09 UTC,2019-05-08 17:10:56 UTC,completed,windows,Firefox 66.0,e666fe1c-2aff-11e9-a55f-5e981ee78fc7,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Búsqueda en la web (Google),9,9,5,5,5,4,4,5,5,4,5,5,5,"Complementos para cajas registradoras (por ejemplo, impresora de recibos, lector de códigos de barras, etc.)",Sistema de punto de venta,Programas de fidelización y de gestión de las relaciones con los clientes,Herramientas para gestionar el inventario,,Herramientas de administración de personal,Lector de tarjetas,,,NADA,NO
2019-05-08 18:13:54 UTC,2019-05-08 18:20:09 UTC,completed,windows,Microsoft Edge 17.17134,7163cd60-52e3-11e8-a472-ba682e92e3ce,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Publicidad exterior,10,10,5,NA,5,3,5,5,NA,4,4,5,5,,,,,,,,,Ninguno de las anteriores,no,no
2019-05-09 01:18:06 UTC,2019-05-09 01:21:51 UTC,completed,windows,Microsoft Edge 16.16299,c51b0fe0-5270-11e8-94cb-eedaea3015c6,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Alguien me lo recomendó,10,10,5,5,5,5,5,5,5,5,5,5,5,,,,Herramientas para gestionar el inventario,,,,,,"me gusta mucho el sistema, no tengo por ahora ningún comentario.  Gracias",ninguna
2019-05-09 14:00:59 UTC,2019-05-09 14:03:30 UTC,completed,ios,Safari 12.1,db360870-2b3c-11e9-9b01-94bb8d33d16b,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Alguien me lo recomendó,9,10,5,5,5,4,5,5,4,4,5,5,5,"Complementos para cajas registradoras (por ejemplo, impresora de recibos, lector de códigos de barras, etc.)",Sistema de punto de venta,Programas de fidelización y de gestión de las relaciones con los clientes,Herramientas para gestionar el inventario,Herramientas para controlar y analizar las ventas,Herramientas de administración de personal,Lector de tarjetas,Herramientas de contabilidad,,"Debería de hacerse el depósito directo, si ya están cobrando una comisión no debería de retrasarse el depósito .",Ninguna
2019-05-09 14:38:52 UTC,2019-05-09 14:42:21 UTC,completed,ios,Safari 12.1,db639000-2bc9-11e9-a7ec-f468d2fd75d1,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Redes sociales,10,10,5,5,5,1,5,5,5,5,5,5,5,"Complementos para cajas registradoras (por ejemplo, impresora de recibos, lector de códigos de barras, etc.)",Sistema de punto de venta,,,Herramientas para controlar y analizar las ventas,,,Herramientas de contabilidad,,"Solamente las comisiones, creo que están arriba de lo normal.",Ninguna.
2019-05-09 15:12:26 UTC,2019-05-09 15:16:17 UTC,completed,android,Chrome 74.0.3729.136,1f7667aa-2b42-11e9-9271-a79a64136109,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Alguien me lo recomendó,10,10,5,5,5,5,5,5,5,5,5,5,5,"Complementos para cajas registradoras (por ejemplo, impresora de recibos, lector de códigos de barras, etc.)",,,,,,,,,Para nada,No
2019-05-09 18:12:51 UTC,2019-05-09 18:15:32 UTC,completed,android,Chrome 73.0.3683.90,c7538f40-2bd1-11e9-a5b1-f450609f29ee,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Búsqueda en la web (Google),10,10,5,5,5,3,5,5,5,5,5,5,5,"Complementos para cajas registradoras (por ejemplo, impresora de recibos, lector de códigos de barras, etc.)",,,,,,Lector de tarjetas,,,"No, estoy a gusto con el servicio",No
2019-05-09 19:21:17 UTC,2019-05-09 19:24:57 UTC,completed,android,Chrome 74.0.3729.136,5d41fa90-5334-11e8-8ed2-95ab1dec74c4,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Alguien me lo recomendó,9,10,5,5,3,5,NA,4,1,5,1,5,5,"Complementos para cajas registradoras (por ejemplo, impresora de recibos, lector de códigos de barras, etc.)",Sistema de punto de venta,,,,,Lector de tarjetas,,,"La compatibilidad con otras impresoras.
Mi lector dejo de funcionar correctamente por unos días.",Ningúno
2019-05-09 21:19:38 UTC,2019-05-09 21:24:43 UTC,completed,android,Chrome 74.0.3729.136,9cd319f0-4e2f-11e8-8318-332c7869c4be,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Alguien me lo recomendó,10,10,5,4,5,5,5,5,5,5,5,5,5,,Sistema de punto de venta,,,,,,,,"Nada, todo exelente",Excelente servicio
2019-05-10 06:04:35 UTC,2019-05-10 06:07:41 UTC,completed,ios,Safari 12.1,35ca6c70-53b3-11e8-bc8f-6e41a485709e,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Estaba en un bazar y llego alguien que los vendía es decir un promotor ,10,10,5,5,5,5,5,5,5,5,5,5,5,"Complementos para cajas registradoras (por ejemplo, impresora de recibos, lector de códigos de barras, etc.)",Sistema de punto de venta,,Herramientas para gestionar el inventario,,Herramientas de administración de personal,,Herramientas de contabilidad,,Estoy satisfecha,Todo me parece bien
2019-05-10 13:16:43 UTC,2019-05-10 13:19:26 UTC,completed,android,Chrome 74.0.3729.136,dd671ab0-2cb0-11e9-b7cc-17d0fec08e96,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Yo pagué algo con iZettle o vi a alguien hacerlo,8,8,5,5,5,3,5,5,5,5,4,5,5,"Complementos para cajas registradoras (por ejemplo, impresora de recibos, lector de códigos de barras, etc.)",,,,,,,,,Por el momento no he tenido problemas con mi dispositivo,No he tenido problemas
2019-05-10 13:44:22 UTC,2019-05-10 13:46:19 UTC,completed,ios,Safari 12.1,f30637c0-53e4-11e8-9439-e76c3a9cbd6d,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Ads en la web,10,10,5,5,5,3,5,5,5,5,5,5,5,,,,,,,Lector de tarjetas,,,Gracias,Todo muy bien
2019-05-10 14:30:57 UTC,2019-05-10 14:34:47 UTC,completed,android,Chrome 47.0.2526.83,43834d92-2c01-11e9-837d-e4d91ec44c21,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Alguien me lo recomendó,9,9,5,5,5,4,5,4,4,4,4,4,4,"Complementos para cajas registradoras (por ejemplo, impresora de recibos, lector de códigos de barras, etc.)",,,,,,,,,Nada por el momento,No
2019-05-10 17:21:22 UTC,2019-05-10 18:35:29 UTC,completed,windows,Chrome 74.0.3729.131,badaa9d0-5466-11e8-a805-9126f311dc4c,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Redes sociales,10,10,5,5,5,5,5,5,5,5,5,5,5,"Complementos para cajas registradoras (por ejemplo, impresora de recibos, lector de códigos de barras, etc.)",Sistema de punto de venta,,,,,Lector de tarjetas,,,"no no hay nada, todo me agrada",no ninguna
2019-05-10 21:40:56 UTC,2019-05-10 21:46:27 UTC,completed,android,Chrome 74.0.3729.136,dedc2bbe-2c25-11e9-a8c3-a1fb86d6a2e5,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Alguien me lo recomendó,9,9,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,"Complementos para cajas registradoras (por ejemplo, impresora de recibos, lector de códigos de barras, etc.)",,,Herramientas para gestionar el inventario,,,Lector de tarjetas,,,Debería usarse sin conexión a internet,Ninguna
2019-05-11 06:53:47 UTC,2019-05-11 06:56:54 UTC,completed,ios,Safari 12.1,a2b408b0-5498-11e8-a956-3f96b7547b76,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Alguien me lo recomendó,7,6,NA,NA,5,1,5,5,NA,3,NA,5,5,"Complementos para cajas registradoras (por ejemplo, impresora de recibos, lector de códigos de barras, etc.)",Sistema de punto de venta,,,,,Lector de tarjetas,,,Empezaron con el 3% de comisión hoy en día me cobran en 4.5 de comisión la verdad eso se me hace muxho,No
2019-05-11 12:56:16 UTC,2019-05-11 12:58:33 UTC,completed,android,Chrome 74.0.3729.136,f8ed1ce0-539d-11e8-a447-ab8b8c756177,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Alguien me lo recomendó,10,10,5,NA,5,5,5,5,4,5,5,5,5,,,Programas de fidelización y de gestión de las relaciones con los clientes,,,,,,,Nada,Ninguna
2019-05-11 18:44:17 UTC,2019-05-11 18:49:52 UTC,completed,ios,Safari 12.1,3fa58cc0-4cf6-11e8-95f7-727baf925413,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Búsqueda en la web (Google),9,8,5,4,5,4,1,5,4,5,1,5,5,"Complementos para cajas registradoras (por ejemplo, impresora de recibos, lector de códigos de barras, etc.)",Sistema de punto de venta,,Herramientas para gestionar el inventario,Herramientas para controlar y analizar las ventas,Herramientas de administración de personal,Lector de tarjetas,Herramientas de contabilidad,,Tengo dos negocios distintos asuntos y productos y compré una segunda terminal para eso pero no me deja registrar más q una cuenta por Curp y yo quiero mis cuentas separadas y que vaya a otra cuenta bancaria ya que las contabilidades del negocio no tienen que ver. Y no se puede. no me sirvió la compra para eso. Tuve que comprar otro lector de otra compañía pero no me da los beneficios del inventario online. por otro lado es compatible con pocas impresoras muy caras para emitir el recibo. Y ahora la versión de mi iPad iOS 9 ya no servirá en unos meses y solo por eso tendré q comprar otro tablet o celular porque la aplicación ya no lo permitirá.,Que la aplicación ya no dejara usar iOS 9 y es lo q tengo en mi negocio para cobrar. Como es un iPad no nuevo  no deja ya actualizarlo.
2019-05-11 18:56:22 UTC,2019-05-11 18:58:43 UTC,completed,ios,Safari 12.1,8c5f5de0-54c9-11e8-942c-276ff72880b6,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Redes sociales,8,9,5,5,5,3,5,5,5,3,5,5,5,"Complementos para cajas registradoras (por ejemplo, impresora de recibos, lector de códigos de barras, etc.)",,,,,,,,,Los depósitos tardan mucho en realizarse.,No
2019-05-11 19:30:27 UTC,2019-05-11 19:34:24 UTC,completed,android,Chrome 45.0.2454.94,5e353650-4f25-11e8-a0e6-03343e8f4382,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Alguien me lo recomendó,10,10,5,5,5,5,5,5,5,5,5,5,5,,Sistema de punto de venta,,,,,,,,Pues hasta ahorita nada todo muy excelente,Ninguna
2019-05-12 17:32:44 UTC,2019-05-12 17:35:29 UTC,completed,ios,Safari 12.1,4be9cd80-5592-11e8-aec4-68f84e192dd0,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Alguien me lo recomendó,10,10,5,5,5,4,5,5,5,5,NA,5,5,,,,Herramientas para gestionar el inventario,,,Lector de tarjetas,,,No hay nada que me disguste.,Ninguno
2019-05-13 13:33:22 UTC,2019-05-13 13:35:29 UTC,completed,windows,Microsoft Edge 17.17134,69b3bcec-2e25-11e9-9bec-d3f7045459b1,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Ads en la web,8,8,4,2,4,4,5,5,4,3,5,5,5,"Complementos para cajas registradoras (por ejemplo, impresora de recibos, lector de códigos de barras, etc.)",Sistema de punto de venta,,Herramientas para gestionar el inventario,Herramientas para controlar y analizar las ventas,Herramientas de administración de personal,Lector de tarjetas,Herramientas de contabilidad,,NADA,NO
2019-05-13 13:40:55 UTC,2019-05-13 13:42:52 UTC,completed,android,Chrome 74.0.3729.136,6710050e-2e70-11e9-9f8c-aa7d3285fdea,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Búsqueda en la web (Google),10,10,5,5,5,5,5,5,4,5,5,3,5,"Complementos para cajas registradoras (por ejemplo, impresora de recibos, lector de códigos de barras, etc.)",Sistema de punto de venta,Programas de fidelización y de gestión de las relaciones con los clientes,Herramientas para gestionar el inventario,Herramientas para controlar y analizar las ventas,Herramientas de administración de personal,Lector de tarjetas,Herramientas de contabilidad,,Nasa,Tener más cuentas para usuarios alternos
2019-05-13 17:36:53 UTC,2019-05-13 17:38:44 UTC,completed,android,Chrome 74.0.3729.136,497481ec-2136-11e9-b4b3-7d22229f5fd8,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Alguien me lo recomendó,8,8,4,4,4,4,4,4,4,4,4,4,4,,,,,,,Lector de tarjetas,,,Las fallas que ha presentado la aplicación,No
2019-05-13 17:40:45 UTC,2019-05-13 17:43:33 UTC,completed,android,Chrome 67.0.3396.87,97fe0990-56f3-11e8-a0f0-a67f399c28b7,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Alguien me lo recomendó,10,10,3,3,4,3,2,5,4,4,3,3,3,,Sistema de punto de venta,,,,,,,,Por el momento estamos bien,No por ahora
2019-05-13 19:17:27 UTC,2019-05-13 19:22:00 UTC,completed,ios,Safari 12.1,9866e18a-2d95-11e9-b342-0a96ff3a0663,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Redes sociales,9,10,5,5,5,4,4,5,5,5,3,5,5,,,,Herramientas para gestionar el inventario,Herramientas para controlar y analizar las ventas,,,,,Ninguno,Ninguno
2019-05-13 19:31:48 UTC,2019-05-13 19:35:36 UTC,completed,windows,Microsoft Edge 14.14393,6cb70c0e-2e3a-11e9-9aa8-b0dab69bdfc7,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Publicidad exterior,8,8,5,5,5,2,4,3,3,4,3,5,5,"Complementos para cajas registradoras (por ejemplo, impresora de recibos, lector de códigos de barras, etc.)",,,,,,Lector de tarjetas,,,Todo bien,Todo ok
2019-05-13 19:57:47 UTC,2019-05-13 19:59:16 UTC,completed,windows,Chrome 73.0.3683.103,baf38208-2e2b-11e9-8bab-af200781d496,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Búsqueda en la web (Google),7,7,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"Complementos para cajas registradoras (por ejemplo, impresora de recibos, lector de códigos de barras, etc.)",,,,,,,,,no,no
2019-05-13 21:08:44 UTC,2019-05-13 21:16:40 UTC,completed,ios,Safari 12.1,6e07b0e0-5271-11e8-9af5-9bb757e2cf23,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Búsqueda en la web (Google),7,7,4,5,5,4,5,5,4,5,3,5,5,"Complementos para cajas registradoras (por ejemplo, impresora de recibos, lector de códigos de barras, etc.)",Sistema de punto de venta,,Herramientas para gestionar el inventario,,,Lector de tarjetas,,,Al principio funcionaba muy bien con mPOP pero ahora ya no imprime todos los recibos o es muy lenta para registrar los pagos,Ver actualizaciones compatibles con mPOP
2019-05-13 21:15:32 UTC,2019-05-13 21:20:08 UTC,completed,ios,Safari 12.1,323ffca0-5665-11e8-8abf-1dd5ff2c7645,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Yo pagué algo con iZettle o vi a alguien hacerlo,10,10,5,5,5,4,5,5,5,5,5,5,5,,,,,,,Lector de tarjetas,,,No,No
2019-05-13 22:08:14 UTC,2019-05-13 22:11:46 UTC,completed,ios,Safari 12.1,565ea770-56c5-11e8-be67-523b2fa42ab7,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Búsqueda en la web (Google),10,10,5,5,5,3,5,5,5,5,4,5,5,"Complementos para cajas registradoras (por ejemplo, impresora de recibos, lector de códigos de barras, etc.)",,,,,,,,,Nada me disgusta actualmente.,No
2019-05-14 03:38:24 UTC,2019-05-14 03:54:08 UTC,completed,mac,Safari 12.1,4ccfd8bc-2e62-11e9-a340-8449629eaca5,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Ads en la web,7,8,5,4,3,2,4,5,3,5,5,5,5,"Complementos para cajas registradoras (por ejemplo, impresora de recibos, lector de códigos de barras, etc.)",,,,,Herramientas de administración de personal,,Herramientas de contabilidad,,Creo que la comisión casi al mismo que los bancos es algo que nos limita para recibir pagos.,ninguna
2019-05-14 12:31:03 UTC,2019-05-14 12:49:56 UTC,completed,ios,Safari 12.1,782b8290-56ef-11e8-81e4-71c27af69a5d,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Búsqueda en la web (Google),10,10,5,5,5,4,4,5,5,5,5,5,5,,,,,,,Lector de tarjetas,,,Nada,Todo bien
2019-05-15 01:31:48 UTC,2019-05-15 01:39:34 UTC,completed,android,Chrome 74.0.3729.136,86324e60-5789-11e8-8058-d4bd9fbc8d23,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Redes sociales,9,9,5,5,5,4,4,4,4,5,4,5,5,,,,,,,,Herramientas de contabilidad,,Nada todo bien!!,Esta bien!!
2019-05-15 12:29:06 UTC,2019-05-15 12:31:14 UTC,completed,ios,Safari 12.1,83857d90-567b-11e8-873d-f6bfb88d4b23,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Alguien me lo recomendó,9,9,4,4,4,3,5,3,1,3,1,4,4,"Complementos para cajas registradoras (por ejemplo, impresora de recibos, lector de códigos de barras, etc.)",Sistema de punto de venta,,Herramientas para gestionar el inventario,,Herramientas de administración de personal,Lector de tarjetas,,,Ok,No
2019-05-15 14:21:10 UTC,2019-05-15 14:25:27 UTC,completed,android,Chrome 74.0.3729.136,4057b70e-2fec-11e9-95bb-381f02f8ee80,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Alguien me lo recomendó,10,10,5,4,4,4,4,4,4,4,4,5,4,,,,,,Herramientas de administración de personal,,,,"Nada, todo en orden",No
2019-05-15 18:00:25 UTC,2019-05-15 18:03:08 UTC,completed,mac,Firefox 66.0,e73d4900-5863-11e8-a016-48ab381bfc72,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Alguien me lo recomendó,10,10,5,5,2,3,5,5,5,5,5,5,5,,,,Herramientas para gestionar el inventario,,,Lector de tarjetas,,,Límite de cargo,Todo bien.
2019-05-15 18:12:05 UTC,2019-05-15 18:18:37 UTC,completed,ios,Safari 12.1,39fc04d0-586c-11e8-b3f7-5941edd7fc25,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Redes sociales,8,10,4,5,5,3,4,5,4,4,4,5,4,"Complementos para cajas registradoras (por ejemplo, impresora de recibos, lector de códigos de barras, etc.)",,,,,,,,,Todo va bien nada más que los depósitos sería bueno q deposite al día siguiente,Todo va bien Gracias
2019-05-15 18:14:34 UTC,2019-05-15 18:17:28 UTC,completed,windows,Chrome 74.0.3729.131,6aec3ea0-57d8-11e8-8c40-e0c63bf34894,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Yo pagué algo con iZettle o vi a alguien hacerlo,8,8,4,4,4,4,4,4,4,4,NA,4,4,"Complementos para cajas registradoras (por ejemplo, impresora de recibos, lector de códigos de barras, etc.)",,,Herramientas para gestionar el inventario,Herramientas para controlar y analizar las ventas,,Lector de tarjetas,,,Buen servicio,Muchos clientes nos piden aceptar tarjetas como sodexo
2019-05-15 18:33:21 UTC,2019-05-15 18:37:32 UTC,completed,android,Chrome 74.0.3729.136,acc0b080-5874-11e8-bb37-94f4de30931a,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,ME VISITARON,10,10,5,5,5,5,5,5,5,5,5,5,5,"Complementos para cajas registradoras (por ejemplo, impresora de recibos, lector de códigos de barras, etc.)",Sistema de punto de venta,Programas de fidelización y de gestión de las relaciones con los clientes,,,,,,,EN ABSOLUTO NADA TODO MUY BIEN,MUY BUENO
2019-05-15 18:54:06 UTC,2019-05-15 18:59:07 UTC,completed,windows,Chrome 74.0.3729.131,e789f2ac-26f6-11e9-a9d2-6c5befd5a33a,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Alguien me lo recomendó,10,10,5,5,5,5,5,5,5,5,5,5,5,,Sistema de punto de venta,,,Herramientas para controlar y analizar las ventas,,Lector de tarjetas,,,ninguna,no
2019-05-15 20:01:57 UTC,2019-05-15 20:10:42 UTC,completed,ios,Safari 12.1,a9e00eb0-5888-11e8-97c6-c55075987d76,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Redes sociales,8,8,4,4,4,2,1,3,1,3,4,4,3,"Complementos para cajas registradoras (por ejemplo, impresora de recibos, lector de códigos de barras, etc.)",Sistema de punto de venta,Programas de fidelización y de gestión de las relaciones con los clientes,Herramientas para gestionar el inventario,Herramientas para controlar y analizar las ventas,Herramientas de administración de personal,Lector de tarjetas,Herramientas de contabilidad,,"Todo marchaba bien con ustedes, pero ya van dos ocasiones en las cuales he tenido problemas con mis clientes porque su banco aparece que si les hace el cobro y dos veces y en aplicación no me aparece nada, por ende tengo que regresar el supuesto pago doble y quedo sin ningún pago ya que jamás lo leyó la aplicación. Me gustaría que pudieran arreglar esa situación y otro problema es que las tarjetas de Banamex, a veces no las lee.","Ninguna, sus servicios son buenos y realmente me gusta mucho su plataforma, solo si me gustaría que arreglaran esos inconvenientes que he tenido últimamente. De ahí en fuera...muy bien!"
2019-05-15 23:53:50 UTC,2019-05-15 23:56:24 UTC,completed,ios,Safari 12.0,82f4b348-2fea-11e9-8db8-f4334b25172a,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Publicidad exterior,10,10,5,5,5,5,5,5,5,5,5,5,4,"Complementos para cajas registradoras (por ejemplo, impresora de recibos, lector de códigos de barras, etc.)",Sistema de punto de venta,,Herramientas para gestionar el inventario,Herramientas para controlar y analizar las ventas,Herramientas de administración de personal,Lector de tarjetas,Herramientas de contabilidad,,Nada me gusta mucho el servicio,Un punto de venta
