Started At,Completed At,Completion Status,Device Type,Browser,Organization Uuid,Segment,Organizationscountry,Utm Medium,Utm Source,Utm Campaign,1. 1. How did you find out about iZettle?,"2. 2. Overall, how satisfied are you with iZettle, on a scale from 1 to 10?",3. 3. How likely is it that you would recommend iZettle to a friend or colleague?,"4.1. 4. Could you please indicate, on a scale from 1 to 5, how satisfied you are with: Deposits","4.2. 4. Could you please indicate, on a scale from 1 to 5, how satisfied you are with: The total amount you can accept per card payment","4.3. 4. Could you please indicate, on a scale from 1 to 5, how satisfied you are with: Communication efforts (e.g., about new features iZettle releases, tips & tricks, account updates)","4.4. 4. Could you please indicate, on a scale from 1 to 5, how satisfied you are with: Your account on my.izettle.com","4.5. 4. Could you please indicate, on a scale from 1 to 5, how satisfied you are with: Customer support","4.6. 4. Could you please indicate, on a scale from 1 to 5, how satisfied you are with: Taking payments","4.7. 4. Could you please indicate, on a scale from 1 to 5, how satisfied you are with: Compatibility with accessories (e.g., printers, stands, barcode scanners, etc.)","4.8. 4. Could you please indicate, on a scale from 1 to 5, how satisfied you are with: Transaction fees","4.9. 4. Could you please indicate, on a scale from 1 to 5, how satisfied you are with: Sales reports","4.10. 4. Could you please indicate, on a scale from 1 to 5, how satisfied you are with: Card reader","4.11. 4. Could you please indicate, on a scale from 1 to 5, how satisfied you are with: Offering your customers a receipt","5. 5. Which of the following products, services or solutions do you know or think that iZettle can offer small businesses?",,,,,,,,,,,6. 6. We are always looking to grow and improve the service for our customers. Please explain below if there is anything you are particularly dissatisfied with:,7. 7. We are always looking to grow and improve the service for our customers. Please explain below if there is any functionality in our service that you are missing today:
2019-04-29 15:36:35 UTC,2019-04-29 15:39:25 UTC,completed,ios,Safari 12.1,d91a2ee0-4bd1-11e8-b282-0298dd7098ee,3M,GB,email,crm,EU_GB_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Somebody recommended iZettle to me,7,9,5,5,5,5,1,5,4,4,5,3,5,,,,,,,,,,,None of the above,THe inability to take card payments directly over the phone or through my online booking system.,The ability to connect my channel manager to your payment system making everything seem less.
2019-04-29 15:40:19 UTC,2019-04-29 15:44:12 UTC,completed,ios,Safari 12.1,2e837840-4b8d-11e8-81a1-c930374a2f62,3M,GB,email,crm,EU_GB_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,I paid for something with iZettle or saw someone else do so,10,10,5,5,NA,5,NA,5,5,3,NA,5,5,, Loyalty/CRM add-on,,Card Reader,,,,,,,,"My machine does not take payments over the phone
But I do not want to pay out for another machine",Payment by phone
2019-04-29 15:44:48 UTC,2019-04-29 16:10:25 UTC,completed,mac,Safari 12.1,393a8150-2267-11e9-9b1d-d3da2cf2bd67,3M,GB,email,crm,EU_GB_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Somebody recommended iZettle to me,8,8,3,5,4,4,4,4,4,4,5,4,5,,,Employee management tools,Card Reader,Invoicing,Point-of-sale system,,Business financing,Tools to manage inventory,Accounting tools,,"It tends to take a lot longer than 2 business days for deposits to reach our bank account, which isn't great for a small business that has just started up.  The reader can sometimes take some time to wake up and take payments - bluetooth feature not consistently working.","The one feature that would be great to add to the Go app would be the ability to print an order before our customer pays.  We are a restaurant so when customers ask for the bill, we have to ask them to come to the till to pay for their bill."
2019-04-29 16:27:14 UTC,2019-04-29 16:31:16 UTC,completed,ios,Safari 12.1,25afe260-4bf3-11e8-8005-0a808e6a5580,3M,GB,email,crm,EU_GB_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Somebody recommended iZettle to me,8,8,4,5,5,5,5,5,5,4,5,5,5,"Cash register add-on (for example receipt printer, barcode reader etc.)",,,Card Reader,Invoicing,Point-of-sale system,,Business financing,Tools to manage inventory,Accounting tools,,Payments could go into my account more quickly?,Part refunds.
2019-04-29 18:22:52 UTC,2019-04-29 18:26:22 UTC,completed,ios,Safari 12.1,4c8e90d6-23c3-11e9-9317-f8cb8494dc5f,3M,GB,email,crm,EU_GB_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Previous company owner,1,1,1,NA,3,3,2,1,3,1,1,3,3,,,Employee management tools,,,,,Business financing,,Accounting tools,,Transaction fees are extremely high. And I haven’t had a deposit since last Tuesday. I’m now searching the internet to find a phone number to contact you to see why I haven’t had any deposits since last Tuesday but can not find a suitable number.  The transactions need to be on a daily basis.,Impossible to find the correct phone number for extended hours help.
2019-04-29 18:33:10 UTC,2019-04-29 18:47:38 UTC,completed,android,Chrome 63.0.3239.111,a4ea83e0-4a28-11e8-ae12-b2bf6377ac05,3M,GB,email,crm,EU_GB_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Television,8,8,3,5,5,3,5,5,NA,5,NA,5,5,,,,Card Reader,Invoicing,,,Business financing,Tools to manage inventory,,,"Dissapointed at friday ,  saturday and sunday when i take the most money on my card reader, and the money isnt available while tuesday , wednesday to withdraw. Money that i take friday would be better in my account clear for monday. Having to keep cash available till monday, tuesday till card reader takings are clear is to long",Nb
2019-04-29 18:39:04 UTC,2019-04-29 18:42:10 UTC,completed,ios,Safari 12.1,34349b50-23ed-11e9-9ff9-432b21d469c6,3M,GB,email,crm,EU_GB_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Somebody recommended iZettle to me,10,10,5,5,5,5,5,5,NA,5,5,5,NA,,,,,Invoicing,,,,,,,"The overall service from ringing up and discussing the iZettle yo recieving it and it been as good as people say, very happy",None
2019-04-29 18:57:24 UTC,2019-04-29 18:59:57 UTC,completed,android,Chrome 73.0.3683.90,4bc89598-23fa-11e9-a971-0a8fafbf47fc,3M,GB,email,crm,EU_GB_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Somebody recommended iZettle to me,10,10,5,5,5,5,NA,5,NA,4,5,5,5,,,,Card Reader,Invoicing,,,,,,,Nothing so far!,Not sure
2019-04-29 18:59:37 UTC,2019-04-29 19:13:55 UTC,completed,android,Chrome 74.0.3729.112,38339df2-23f5-11e9-90ab-aa208191de2e,3M,GB,email,crm,EU_GB_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Internet search (Google),8,8,5,5,4,5,NA,3,NA,5,5,4,NA,,,,,,,,,,,None of the above,"My card reader struggles to pair via Bluetooth to the app. Customers have been waiting fir as long as 5 mins before they connect. Multiple on/off presses on reader and/or opening and closing of app b4 they pair. I've tried opening app 1st, then turning on reader and vice versa. Sometimes they pair immediately. Most times they don't. And customers are left hanging. As a taxi driver, that's not good if the customer has an appointment or catching bus or train. Also, once app is open, would be handy if the phone didn't go into sleep mode. This automatically loses Bluetooth connection with reader. Should stay awake like when using Google maps for eg. And no, I'm not going into settings each time I use the app, to stop phone from sleeping, and then resetting it once I've used the app.",As stated previously.
2019-04-29 19:05:05 UTC,2019-04-29 19:08:05 UTC,completed,ios,Safari 12.1,9389ac88-23c2-11e9-a890-eacd28589210,3M,GB,email,crm,EU_GB_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Internet search (Google),8,8,4,5,3,3,3,4,3,3,3,3,2,"Cash register add-on (for example receipt printer, barcode reader etc.)", Loyalty/CRM add-on,,Card Reader,Invoicing,Point-of-sale system,Tools to track and analyze sales,Business financing,,,,"It would be nice to have a weekly report view option as well as daily and monthly.

Also it turns off/disconnects a lot (nothing to due with internet connection) which is frustrating if you have to re-connect reader a lot with a busy queue.",Gjtj
2019-04-29 19:07:05 UTC,2019-04-29 19:10:01 UTC,completed,android,Chrome 67.0.3396.87,2eadfa6a-2086-11e9-a401-30101a3c7c9d,3M,GB,email,crm,EU_GB_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Internet search (Google),10,10,5,5,NA,5,5,5,NA,4,4,5,5,,,,,,,Tools to track and analyze sales,,,,,Happy with service so far. Nothing negative to say,More variation of reporting
2019-04-29 19:22:23 UTC,2019-04-29 19:26:03 UTC,completed,android,Chrome 67.0.3396.87,919dec9e-23be-11e9-b251-e9f2c78e9491,3M,GB,email,crm,EU_GB_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Somebody recommended iZettle to me,9,10,4,5,1,5,NA,5,NA,4,NA,5,NA,,,,,,,,,,,None of the above,should get paid after 1 working day,none
2019-04-29 19:39:27 UTC,2019-04-29 19:42:05 UTC,completed,ios,Safari 12.0,a801d204-23d0-11e9-b7a8-f32b8e11eb0e,3M,GB,email,crm,EU_GB_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Somebody recommended iZettle to me,10,10,5,5,5,5,5,5,4,5,5,5,5,,,,Card Reader,,,,,,,,I’m happy with the product,No
2019-04-29 20:11:28 UTC,2019-04-29 20:13:50 UTC,completed,android,Chrome 67.0.3396.87,24cc9ad0-4b91-11e8-a0bd-e3fbd1bbe97a,3M,GB,email,crm,EU_GB_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Social media,10,10,5,5,5,5,NA,5,5,5,5,5,5,,,,Card Reader,,,,,,,,Nothing.,Nothing
2019-04-29 21:13:07 UTC,2019-04-29 21:17:37 UTC,completed,android,Chrome 74.0.3729.112,289b4b6a-2396-11e9-af7e-0a1ac74d036f,3M,GB,email,crm,EU_GB_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Internet search (Google),2,2,1,5,3,3,3,3,3,4,4,5,4,,,,,Invoicing,,,,,,,Too slow paying into account. No need to email a day after payment taken then have to wait At Least another day for deposit. Payments are NOT made as per your advertised schedule,None
2019-04-30 07:25:03 UTC,2019-04-30 07:32:20 UTC,completed,android,Chrome 73.0.3683.90,f48c41c6-23db-11e9-a5ae-7308ddca0fc1,3M,GB,email,crm,EU_GB_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Internet search (Google),7,5,4,5,5,5,5,3,1,4,4,2,NA,"Cash register add-on (for example receipt printer, barcode reader etc.)",,,Card Reader,,,,,,,,phones   compatibility,No
2019-04-30 10:14:55 UTC,2019-04-30 10:16:03 UTC,completed,ios,Safari 11.0,48254776-235d-11e9-8531-232e75dd339b,3M,GB,email,crm,EU_GB_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Internet search (Google),9,9,5,5,5,5,NA,5,NA,5,5,5,5,,,,Card Reader,,,,,,,,.,.
2019-04-30 10:41:15 UTC,2019-04-30 10:44:47 UTC,completed,android,Chrome 74.0.3729.112,44066230-478d-11e8-be46-b16f4c1953db,3M,GB,email,crm,EU_GB_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Television,8,8,4,3,4,4,4,4,3,4,4,4,NA,,,,,,,,,,Accounting tools,,No,None
2019-04-30 13:57:07 UTC,2019-04-30 14:02:07 UTC,completed,ios,Safari 11.0,d4574b60-23b5-11e9-a9ee-da1f9c6d0dff,3M,GB,email,crm,EU_GB_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Somebody recommended iZettle to me,8,8,4,4,4,4,5,4,3,2,3,4,3,,,,,,,,,,,None of the above,None,None
2019-04-30 15:29:07 UTC,2019-04-30 16:01:08 UTC,completed,windows,Chrome 74.0.3729.108,fe03dd20-4c79-11e8-80bb-89dff2eaf599,3M,GB,email,crm,EU_GB_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,I paid for something with iZettle or saw someone else do so,8,8,4,4,3,4,4,4,4,4,4,4,NA,"Cash register add-on (for example receipt printer, barcode reader etc.)",,,,Invoicing,,,,,,,Tablet or cash register which makes it more professional when used.,Thanks
2019-04-30 15:57:06 UTC,2019-04-30 16:05:17 UTC,completed,android,Chrome 67.0.3396.87,a5c38db0-4a47-11e8-9e15-8cceaa020cb0,3M,GB,email,crm,EU_GB_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Internet search (Google),9,9,4,4,4,4,4,4,NA,2,4,5,4,"Cash register add-on (for example receipt printer, barcode reader etc.)",,,Card Reader,Invoicing,,,,Tools to manage inventory,,,"It would be better not to be charged 2.5% for payment links we have been offered a lot better rate by other firms, it would be much better for izettle to bring this down 1.75% same as other transactions fees, we have been offered 1.70% across all transactions.",No for us at the moment .
2019-04-30 16:43:38 UTC,2019-04-30 16:47:02 UTC,completed,mac,Safari 12.1,bc2dd7fa-23e4-11e9-b4e7-9774593068d1,3M,GB,email,crm,EU_GB_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Somebody recommended iZettle to me,9,9,5,NA,3,4,NA,4,NA,3,4,4,4,"Cash register add-on (for example receipt printer, barcode reader etc.)",,,Card Reader,,,,,,,,I am very happy except I would like to give my customers a receipt and also keep a copy for my records.,None Thank you
2019-04-30 16:58:54 UTC,2019-04-30 17:13:28 UTC,completed,android,Chrome 74.0.3729.112,ee0e9570-4ca8-11e8-95bd-62175d620851,3M,GB,email,crm,EU_GB_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Internet search (Google),10,10,NA,5,5,5,NA,5,NA,4,4,4,5,"Cash register add-on (for example receipt printer, barcode reader etc.)",,,Card Reader,Invoicing,Point-of-sale system,,,,,,I would like to be able to take card payments over the phone.  Also to link with the store on my Wix website.,See previous - phone payments and integrate with Wix store.
2019-04-30 17:25:35 UTC,2019-04-30 17:27:58 UTC,completed,ios,Safari 12.1,8b2fcdb0-4ca9-11e8-a43a-7b0aaf71e48c,3M,GB,email,crm,EU_GB_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Somebody recommended iZettle to me,9,10,5,5,5,5,NA,5,NA,4,5,5,NA,,,,,,,,,,,None of the above,N/A,N/A
2019-04-30 17:41:59 UTC,2019-04-30 17:45:28 UTC,completed,android,Chrome 67.0.3396.87,4f2846b0-4c7e-11e8-a72a-9c76dfbe5a1f,3M,GB,email,crm,EU_GB_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Internet search (Google),9,10,5,5,3,5,5,5,NA,3,3,5,1,"Cash register add-on (for example receipt printer, barcode reader etc.)",,,Card Reader,Invoicing,Point-of-sale system,,,,,,The price of a receipt printer is staggering,Weekly monthly  invoices
2019-04-30 18:30:09 UTC,2019-04-30 18:32:22 UTC,completed,ios,Safari 12.1,2a23044c-248a-11e9-9abb-1239d384cc3f,3M,GB,email,crm,EU_GB_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Internet search (Google),9,10,4,4,NA,5,5,5,NA,3,5,5,5,"Cash register add-on (for example receipt printer, barcode reader etc.)",,,Card Reader,Invoicing,Point-of-sale system,Tools to track and analyze sales,,Tools to manage inventory,,,I don’t know,Works fine for me
2019-04-30 18:46:00 UTC,2019-04-30 18:49:23 UTC,completed,ios,Safari 12.1,f29cd808-24cb-11e9-af32-4207cb361491,3M,GB,email,crm,EU_GB_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Internet search (Google),8,8,5,5,4,4,NA,3,NA,4,4,3,5,,,,,,,,,Tools to manage inventory,,,Had a few problems with izettle reader losing connection with my phone. Also would like better sales reports what one showing every transaction. Overall very happy,Reporting per last comment
2019-04-30 19:33:06 UTC,2019-04-30 19:39:19 UTC,completed,ios,Safari 12.1,73772f2a-2493-11e9-9adc-71db49e0861e,3M,GB,email,crm,EU_GB_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Internet search (Google),8,9,4,5,4,5,4,5,NA,5,NA,5,NA,,,,,,Point-of-sale system,,,,,,"Mostly transactions take to long to reach my bank account, but this may be due to my bank.",A receipt for myself and clients.
2019-04-30 19:38:01 UTC,2019-04-30 19:42:25 UTC,completed,windows,Chrome 73.0.3683.103,137475c4-1f07-11e9-8fa5-25a9048fd21e,3M,GB,email,crm,EU_GB_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,I paid for something with iZettle or saw someone else do so,10,10,5,5,4,5,5,5,5,5,5,5,4,,,,Card Reader,Invoicing,Point-of-sale system,,,,,,No easy to purchase receipt printer - it's far too expensive compared to the reader!,0
2019-04-30 19:42:42 UTC,2019-04-30 19:49:54 UTC,completed,android,Chrome 74.0.3729.112,cb1d2d8e-24a1-11e9-92f4-b643f2bc1919,3M,GB,email,crm,EU_GB_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Online ads,9,9,4,4,4,4,NA,4,NA,3,NA,5,4,,,,Card Reader,,,,,,,,Would like an option for 'Card holder not present',"Card holder not present. Default setting for VAT, we are zero rated and have to change each time to 0%."
2019-04-30 19:50:35 UTC,2019-04-30 19:54:08 UTC,completed,ios,Safari 12.1,22db079e-24bb-11e9-a83d-31c703cc8cbc,3M,GB,email,crm,EU_GB_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Television,8,8,4,5,4,5,4,5,NA,2,4,5,NA,"Cash register add-on (for example receipt printer, barcode reader etc.)",,,Card Reader,Invoicing,Point-of-sale system,,,,,,B,No
2019-04-30 20:27:59 UTC,2019-04-30 20:32:41 UTC,completed,windows,Chrome 73.0.3683.103,833b415a-2491-11e9-aa6c-1c7a01a9ef39,3M,GB,email,crm,EU_GB_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Internet search (Google),10,10,5,5,5,5,5,5,NA,4,4,5,NA,, Loyalty/CRM add-on,,,,,,,,,,I'm a happy customer.  I love the card reader.  It's so easy.,It would be nice to see the descriptions I enter aligned to each of the payments online so I can tie up what amounts have come into my account.  I offer services where many of the amounts are the same and I'm not sure whose payment has come into my account.
2019-04-30 20:29:41 UTC,2019-04-30 20:31:28 UTC,completed,android,Chrome 67.0.3396.87,514a3920-4c7a-11e8-8373-87a62cd3385f,3M,GB,email,crm,EU_GB_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Somebody recommended iZettle to me,9,9,5,4,5,5,4,5,5,4,5,5,5,,,Employee management tools,Card Reader,Invoicing,Point-of-sale system,Tools to track and analyze sales,,,,,Nothing,Nothing
2019-04-30 20:47:37 UTC,2019-04-30 20:51:43 UTC,completed,ios,Safari 9.0,938dc490-24de-11e9-9bee-75d720f74206,3M,GB,email,crm,EU_GB_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Somebody recommended iZettle to me,10,10,5,5,5,5,5,5,NA,5,5,5,NA,,,,,,,,,,Accounting tools,,Like as it is,Ok
2019-04-30 21:09:50 UTC,2019-04-30 21:14:56 UTC,completed,windows,Chrome 73.0.3683.103,ec3dfb1e-23bc-11e9-9bb1-ab452a176842,3M,GB,email,crm,EU_GB_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Internet search (Google),9,8,3,5,4,4,4,4,5,5,5,5,5,,,,Card Reader,,,,,,,,sometime the app is frozen to search the product.,more options for items
2019-04-30 21:20:48 UTC,2019-04-30 21:23:52 UTC,completed,mac,Safari 9.1.2,a0147d80-4c67-11e8-bed3-b5909fc2e887,3M,GB,email,crm,EU_GB_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Somebody recommended iZettle to me,9,9,4,4,4,4,4,4,4,4,4,4,3,, Loyalty/CRM add-on,,,,,,,,,,I still feel the payments are a little slow coming through but generally I am quite happy.,no
2019-04-30 22:21:34 UTC,2019-04-30 22:29:56 UTC,completed,android,Firefox 66.0,a85c6d98-1e46-11e9-97bd-2c0328d27607,3M,GB,email,crm,EU_GB_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Internet search (Google),9,10,5,5,5,4,NA,5,NA,4,4,4,NA,"Cash register add-on (for example receipt printer, barcode reader etc.)",,,Card Reader,Invoicing,Point-of-sale system,Tools to track and analyze sales,Business financing,Tools to manage inventory,Accounting tools,,If businesses could customise the contents and layout of invoices sent out to their customers that would in my opinion be a major improvement.,Free izettle swanie whistles.
2019-05-01 11:39:00 UTC,2019-05-01 11:42:02 UTC,completed,ios,Safari 12.1,f1ff2b12-24da-11e9-b64e-23fafe0d55ad,3M,GB,email,crm,EU_GB_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Somebody recommended iZettle to me,5,5,NA,5,3,4,4,4,NA,1,4,4,1,,,,Card Reader,,,Tools to track and analyze sales,,,,,General charges and killing small business’d And on average it takes 5-7 days before it’s cleared in my bank where as initially i read 1-3 days.,!
2019-05-01 12:24:29 UTC,2019-05-01 12:27:38 UTC,completed,ios,Safari 12.1,293a9320-24a7-11e9-bad7-32b1c733ab76,3M,GB,email,crm,EU_GB_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Somebody recommended iZettle to me,9,9,4,4,4,4,4,4,NA,4,4,4,NA,,,,,,,,,,,None of the above,V happy with service,Nothing missing for me personally
2019-05-01 16:20:39 UTC,2019-05-01 16:43:48 UTC,completed,android,Chrome 74.0.3729.112,c7860090-4d3a-11e8-baa7-09a450e4ee78,3M,GB,email,crm,EU_GB_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Somebody recommended iZettle to me,10,10,5,5,5,5,5,5,NA,4,5,5,5,"Cash register add-on (for example receipt printer, barcode reader etc.)", Loyalty/CRM add-on,,Card Reader,,Point-of-sale system,,,,Accounting tools,,"No. Completely satisfied with the discounted card reader and ease of use, and operation of the service. Thanks.",Perhaps an ability to personalise the e mail receipt message?
2019-05-01 16:28:59 UTC,2019-05-01 16:31:09 UTC,completed,ios,Safari 12.1,b953fe70-4d42-11e8-9fca-8e0617844f5f,3M,GB,email,crm,EU_GB_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Somebody recommended iZettle to me,10,10,5,5,5,5,5,5,NA,5,5,5,5,"Cash register add-on (for example receipt printer, barcode reader etc.)",,,,Invoicing,,,,,,,Very happy with iZettle,Nothing at the moment
2019-05-01 18:24:28 UTC,2019-05-01 18:29:02 UTC,completed,ios,Safari 12.1,41bb2e06-253c-11e9-924a-f1e8e25f2fd9,3M,GB,email,crm,EU_GB_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Somebody recommended iZettle to me,7,7,3,4,3,3,3,4,4,3,3,4,4,,,,Card Reader,,,,,,,,How long it takes money to clear,Nothing
2019-05-01 18:34:07 UTC,2019-05-01 18:36:05 UTC,completed,android,Chrome 67.0.3396.87,5e9d58d0-4d76-11e8-acb1-1548d3e40fe0,3M,GB,email,crm,EU_GB_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Social media,10,10,5,5,2,3,NA,5,NA,4,4,5,3,"Cash register add-on (for example receipt printer, barcode reader etc.)",,,Card Reader,,,,,,,,.,.
2019-05-01 19:58:20 UTC,2019-05-01 20:02:36 UTC,completed,android,Chrome 67.0.3396.87,dbe600a8-2548-11e9-a6af-92d08453a232,3M,GB,email,crm,EU_GB_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Internet search (Google),7,7,5,5,2,5,4,2,3,3,4,2,4,,,,Card Reader,,,,,,Accounting tools,,Ever since my update my card reader as problems  you can contact me on 07375452893 Mr Cooper,NA
2019-05-01 20:09:31 UTC,2019-05-01 20:12:36 UTC,completed,ios,Safari 12.1,3aa9b900-4d3f-11e8-808f-31e10d613119,3M,GB,email,crm,EU_GB_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Somebody recommended iZettle to me,10,10,4,5,3,4,5,5,NA,3,4,5,4,"Cash register add-on (for example receipt printer, barcode reader etc.)",,,Card Reader,Invoicing,,Tools to track and analyze sales,,,,,Nothing it’s excellant!,None
2019-05-01 21:28:40 UTC,2019-05-01 21:48:14 UTC,completed,windows,Chrome 73.0.3683.103,9e83c930-3db2-11e8-87ec-0e60db9498c9,3M,GB,email,crm,EU_GB_CRM-GO-SurveyYearlyCheck,Somebody recommended iZettle to me,10,10,4,5,5,NA,NA,5,NA,4,NA,5,5,"Cash register add-on (for example receipt printer, barcode reader etc.)",,,Card Reader,Invoicing,,,,Tools to manage inventory,,,Not dissatisfied at all :-),"I would like to be able to have an option to sometimes switch to receive deposits weekly on a set day instead of daily. As a very small and seasonal business, this would be helpful in quiet months as I am charged bank charges per deposit/transaction, so for example in the winter I may take a transaction for £5 and that happens to be the only card payment that day, so the bank charges can be very high relative to takings at some times in the year. Haha maybe that setting is actually available already, I never actually go into my izettle account!!
Being able to do a partial refund after a customer has gone away would be good too but is maybe impossible, every once in a while mistakes do happen and it would be nice to be able to fix it!"
2019-05-01 22:30:36 UTC,2019-05-01 22:33:22 UTC,completed,ios,Safari 12.1,5bbc5988-255a-11e9-9d59-9e2626f19d27,3M,GB,email,crm,EU_GB_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Internet search (Google),6,6,5,5,4,4,4,3,4,3,5,4,4,"Cash register add-on (for example receipt printer, barcode reader etc.)",,,Card Reader,,,,,,,,Transactions not always working and the money is taken from a customers account but don’t show on the company’s.,Just the machine working consistently
2019-05-02 15:37:12 UTC,2019-05-02 15:38:49 UTC,completed,ios,Safari 12.0,595482a0-4e24-11e8-9a59-028b3f2386ba,3M,GB,email,crm,EU_GB_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Internet search (Google),8,9,5,5,5,5,NA,5,NA,5,5,5,NA,,,,,,,,,,,None of the above,"Not dramatic, but would be nice if deposits were made faster",None
2019-05-02 15:43:07 UTC,2019-05-02 15:49:34 UTC,completed,windows,Chrome 73.0.3683.103,4ac0f070-4de8-11e8-97fc-baf92b6ad391,3M,GB,email,crm,EU_GB_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Internet search (Google),9,9,5,5,5,4,3,4,NA,4,3,3,3,"Cash register add-on (for example receipt printer, barcode reader etc.)",,,Card Reader,Invoicing,Point-of-sale system,,Business financing,,,,"On Sales Report, there doesn't appear an option to see the gross sales, minus iZettle's fees, PER DEPOSIT of funds.  Have to manually add up sales and deduct fees to get reconciliation with bank statement.","Answer stated in question 6.  

Also, battery life of card reader needs to be improved - needs re-charging after 5 hours of continuous use, which isn't adequate for a full working day, eg 8 hours!"
2019-05-02 16:13:17 UTC,2019-05-02 16:15:30 UTC,completed,ios,Safari 12.1,08c31070-4e03-11e8-b954-2a3a8d9ee3cb,3M,GB,email,crm,EU_GB_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Somebody recommended iZettle to me,10,10,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,None of the above,Excellent,None
2019-05-02 16:37:14 UTC,2019-05-02 16:40:58 UTC,completed,windows,Chrome 73.0.3683.103,70dfd7e0-4e23-11e8-8f6c-000b06ccfdb0,3M,GB,email,crm,EU_GB_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Somebody recommended iZettle to me,10,10,5,5,NA,5,NA,5,NA,5,NA,5,NA,,,,Card Reader,,Point-of-sale system,,Business financing,,,,Not sure,Not sure
2019-05-02 16:45:02 UTC,2019-05-02 16:50:56 UTC,completed,android,Chrome 67.0.3396.87,b8beb020-4dee-11e8-aa92-30beb2c12a7b,3M,GB,email,crm,EU_GB_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Internet search (Google),10,10,5,4,5,5,5,5,NA,4,5,5,5,,,,,,,,,,,None of the above,When you send a payment link to someone is the max amount £200,Nothing
2019-05-02 16:45:04 UTC,2019-05-02 16:49:36 UTC,completed,ios,Safari 12.1,5eb10aa0-4df4-11e8-b09e-ef789c7d5ec0,3M,GB,email,crm,EU_GB_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Internet search (Google),8,10,4,5,4,5,5,5,NA,3,4,5,5,,,,Card Reader,Invoicing,Point-of-sale system,Tools to track and analyze sales,,,Accounting tools,,How long it takes to receive money in bank account over when payments are taken a day or two before the weekend,None
