Started At,Completed At,Completion Status,Device Type,Browser,Organization Uuid,Segment,Organizationscountry,Utm Medium,Utm Source,Utm Campaign,1. 1. Comment avez-vous entendu parler d'iZettle ?,"2. 2. Dans l'ensemble, quel est votre niveau de satisfaction vis-à-vis d'iZettle sur une échelle de 1 à 10 ?",3. 3. Quelle est la probabilité que vous recommandiez iZettle à un ami ou à un collègue ?,"4.1. 4. Pourriez-vous indiquer, sur une échelle de 1 à 5, votre niveau de satisfaction par rapport : Des lecteurs de carte","4.2. 4. Pourriez-vous indiquer, sur une échelle de 1 à 5, votre niveau de satisfaction par rapport : Aux frais de transaction","4.3. 4. Pourriez-vous indiquer, sur une échelle de 1 à 5, votre niveau de satisfaction par rapport : Des rapports d'activité","4.4. 4. Pourriez-vous indiquer, sur une échelle de 1 à 5, votre niveau de satisfaction par rapport : À votre compte sur my.izettle.com","4.5. 4. Pourriez-vous indiquer, sur une échelle de 1 à 5, votre niveau de satisfaction par rapport : Aux virements","4.6. 4. Pourriez-vous indiquer, sur une échelle de 1 à 5, votre niveau de satisfaction par rapport : D'accepter des paiements","4.7. 4. Pourriez-vous indiquer, sur une échelle de 1 à 5, votre niveau de satisfaction par rapport : À notre communication (par ex. à propos de nouvelles fonctionnalités, trucs & astuces, mises à jour)","4.8. 4. Pourriez-vous indiquer, sur une échelle de 1 à 5, votre niveau de satisfaction par rapport : Des reçus pour vos clients","4.9. 4. Pourriez-vous indiquer, sur une échelle de 1 à 5, votre niveau de satisfaction par rapport : Du service client","4.10. 4. Pourriez-vous indiquer, sur une échelle de 1 à 5, votre niveau de satisfaction par rapport : À la compatibilité avec les accessoires (par ex. imprimantes, supports, lecteur de code-barres, etc.)","5. 5. Parmi les produits, services ou solutions ci-dessous, lesquels, à votre avis, iZettle pourrait proposer aux petites entreprises ?",,,,,,,,,,,6. 6. Nous essayons constamment d'agrandir et d'améliorer nos services pour nos utilisateurs. Veuillez expliquer ci-dessous si il y a quelque chose en particulier dont vous n'êtes pas satisfait :,7. 7. Nous essayons constamment d'agrandir et d'améliorer nos services pour nos utilisateurs. Veuillez expliquer ci-dessous si il y a une fonctionnalité qui vous manque dans notre service aujourd'hui :
2019-05-30 15:35:49 UTC,2019-05-30 15:40:16 UTC,completed,windows,Chrome 74.0.3729.169,5b8cf030-61dd-11e8-92dc-78b0353528c6,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Publicité sur la voie publique,8,8,5,5,5,5,5,5,5,5,5,5,,,,Outils comptables,,,,,,,,vos imprimantes a tickets sont trop cheres et vous ne fonctionner qu avec celle la donc pas compatible avec d autre c est dommage c est ce qui m a freiner pour cette utilisation,merci
2019-05-30 16:11:20 UTC,2019-05-30 16:14:11 UTC,completed,ios,Safari 12.1.1,92fac110-6448-11e8-88cd-d7b67cd493ef,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Publicité sur internet,10,10,5,3,5,5,5,5,3,4,NA,4,,,,,,"Accessoires de caisse (comme une imprimante à reçus, un lecteur de code-barres, etc.)",Facturation,,,,,La connexion au lecteur doit être relancée à chaque fois,"Pouvoir mieux personnaliser les tickets
Proposer un lecteur intégrant un ticket de caisse"
2019-05-30 16:15:55 UTC,2019-05-30 16:20:11 UTC,completed,ios,Safari 12.1,3a65d550-6400-11e8-9e10-1815658bea7a,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Recherche internet (Google),10,10,5,4,5,5,5,5,5,5,5,NA,,,,,,"Accessoires de caisse (comme une imprimante à reçus, un lecteur de code-barres, etc.)",,,,,,"En tant que loueur de chambres d’hôtes et tables, nous l’utilisons peu, mais il nous donne entière satisfaction",RAS
2019-05-30 16:38:26 UTC,2019-05-30 16:44:28 UTC,completed,windows,Chrome 74.0.3729.169,a1dbeb60-63f2-11e8-8c3f-0ebd3c47bc6b,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Recherche internet (Google),10,10,5,5,5,5,5,5,5,5,5,5,,,Fonction de gestion de la fidélisation / CRM,,,,Facturation,,,,,"Facilité d'utilisation,rapidité dans les paiements.",Trés bien
2019-05-30 19:10:45 UTC,2019-05-30 19:19:16 UTC,completed,ios,Safari 12.1,ce3bdb80-640a-11e8-b7d7-3216d45dfb34,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Recherche internet (Google),8,8,5,2,4,4,5,5,3,5,3,2,,,,,,,,,Lecteur de carte,,,Lecteur de carte sent téléphone,Lecteur de carte sans mobile
2019-05-30 22:10:49 UTC,2019-05-30 22:14:44 UTC,completed,android,Chrome 74.0.3729.157,b987008c-3c56-11e9-bfe0-dcb4ff6c9b76,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Quelqu'un m'a recommandé iZettle,10,10,4,3,3,3,4,4,NA,4,3,NA,,,,,,,,,Lecteur de carte,Aucune des réponses ci-dessus,,Non,Rien
2019-05-31 03:44:35 UTC,2019-05-31 03:47:44 UTC,completed,android,Chrome 67.0.3396.87,2d476870-643c-11e8-8569-573bee3b6b41,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Publicité sur internet,6,6,3,2,4,3,4,5,3,5,4,1,,,,,,,Facturation,Système de point de vente,,,,Batterie,Tickets
2019-05-31 05:47:19 UTC,2019-05-31 05:49:57 UTC,completed,android,Chrome 74.0.3729.157,1a271c30-6442-11e8-8004-a8d9a0311bc3,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Recherche internet (Google),1,1,4,4,4,4,1,1,1,1,1,1,Outils de gestion des stocks,Outils de suivi et d'analyse des ventes,,,,,,,Lecteur de carte,,,Trop de payement en retard,Hdje
2019-05-31 08:03:07 UTC,2019-05-31 08:06:04 UTC,completed,windows,Chrome 74.0.3729.169,afbfbb90-63ec-11e8-a4ce-3c4dacadb968,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Recherche internet (Google),8,8,3,4,5,5,5,5,5,NA,NA,NA,Outils de gestion des stocks,Outils de suivi et d'analyse des ventes,,,,,,,Lecteur de carte,,,"juste, on ne peut apparemment pas changer la photo de profil une fois que le compte est créé",je ne vois pas par rapport aux besoins de notre association
2019-05-31 08:03:24 UTC,2019-05-31 08:10:52 UTC,completed,ios,Safari 12.1.1,63170980-3bf8-11e9-aba0-38d3f19ce9fd,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Quelqu'un m'a recommandé iZettle,9,10,5,3,5,4,5,5,5,5,NA,NA,,,,,,,,,Lecteur de carte,,,Commissions un peu élevées,Ras
2019-05-31 10:20:19 UTC,2019-05-31 10:23:09 UTC,completed,mac,Safari 12.1.1,e8f5ab00-6422-11e8-b340-127b1c5c219b,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,"J'ai utilisé, ou vu quelqu'un utiliser iZettle pour acheter quelque chose",9,9,5,3,5,5,5,5,5,5,NA,NA,,,,,,,Facturation,,,,,Je suis satisfaite pour l'utilisation que je fais.,Facturation
2019-05-31 19:08:50 UTC,2019-05-31 19:11:49 UTC,completed,ios,Safari 12.1,49da1d86-3cde-11e9-8f1b-969288f79d12,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Publicité sur internet,8,10,5,3,4,4,4,4,5,4,4,NA,Outils de gestion des stocks,,,,,,,,,,,Rien,Na
2019-05-31 20:04:57 UTC,2019-05-31 20:07:37 UTC,completed,ios,Safari 12.1,7a2642b0-3cdb-11e9-9349-88d4214c78c5,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Réseaux sociaux,10,10,5,5,5,5,5,5,5,5,5,NA,,,,,,"Accessoires de caisse (comme une imprimante à reçus, un lecteur de code-barres, etc.)",Facturation,,,,,Rien à dire,Non
2019-06-01 07:49:24 UTC,2019-06-01 11:57:26 UTC,completed,windows,Firefox 67.0,e9a34b04-3b7f-11e9-9278-bc7cdb02b6d0,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Quelqu'un m'a recommandé iZettle,10,10,5,3,5,5,5,5,NA,4,5,NA,,,,,,"Accessoires de caisse (comme une imprimante à reçus, un lecteur de code-barres, etc.)",,,,,,NA,NA
2019-06-01 09:23:29 UTC,2019-06-01 09:27:06 UTC,completed,ios,Safari 10.0,a360af60-626d-11e8-843f-b3ec70316cee,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Quelqu'un m'a recommandé iZettle,10,10,5,5,5,5,5,5,5,5,5,NA,,,,,,,,,,Aucune des réponses ci-dessus,,NA,NA
2019-06-01 15:28:11 UTC,2019-06-01 15:30:08 UTC,completed,android,Chrome 67.0.3396.87,5c50cb00-6583-11e8-a2cf-269a5c31e3a2,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Recherche internet (Google),6,6,4,2,5,4,3,4,4,4,2,NA,,,,,,,,Système de point de vente,,,,Accepté les cartes ticket restaurant,Rizn
2019-06-02 03:01:25 UTC,2019-06-02 03:03:12 UTC,completed,android,Chrome 74.0.3729.157,ab4aa052-3d7b-11e9-8db0-3cc64de28dcb,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Recherche internet (Google),8,8,4,4,4,4,4,4,4,4,4,4,,,,,,,,,Lecteur de carte,,,N,N
2019-06-02 12:40:47 UTC,2019-06-02 12:43:09 UTC,completed,windows,Chrome 49.0.2623.112,ba595226-3b61-11e9-8876-887431044932,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,marché,9,9,5,3,5,5,5,5,5,5,5,NA,,,,,,,,,,Aucune des réponses ci-dessus,,ras,aucun
2019-06-03 06:15:04 UTC,2019-06-03 06:19:51 UTC,completed,android,Chrome 74.0.3729.157,0765c9a6-3ebd-11e9-afc5-919791aea81a,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Quelqu'un m'a recommandé iZettle,9,9,5,5,5,4,4,4,4,4,4,4,Outils de gestion des stocks,Outils de suivi et d'analyse des ventes,Fonction de gestion de la fidélisation / CRM,,,"Accessoires de caisse (comme une imprimante à reçus, un lecteur de code-barres, etc.)",,,Lecteur de carte,,,Paiement facile et rapide,Paiement facile et rapide
2019-06-03 06:44:18 UTC,2019-06-03 06:46:12 UTC,completed,ios,Safari 12.1,1a83c678-3e9a-11e9-8cdb-ad0ab7592f44,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Publicité sur internet,10,10,5,4,5,5,5,5,5,5,5,4,,,,,,,,,,Aucune des réponses ci-dessus,,Ras,Rien pour ma profession
2019-06-03 07:06:50 UTC,2019-06-03 07:14:52 UTC,completed,windows,Chrome 74.0.3729.169,21ba5830-65b0-11e8-b759-245ccc6e303a,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Réseaux sociaux,8,8,5,3,5,5,4,5,3,3,4,NA,Outils de gestion des stocks,Outils de suivi et d'analyse des ventes,Fonction de gestion de la fidélisation / CRM,,,"Accessoires de caisse (comme une imprimante à reçus, un lecteur de code-barres, etc.)",,,,,,Impossible de se servir d'Izettle sur PC bien dommage dans mon cas !,Le fonctionnement sur PC serais un gros Plus
2019-06-03 07:36:34 UTC,2019-06-03 07:40:30 UTC,completed,windows,Firefox 67.0,6af11116-293b-11e9-abaa-5b5be1a15c5d,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Quelqu'un m'a recommandé iZettle,9,10,4,3,5,4,4,4,3,2,NA,2,,,Fonction de gestion de la fidélisation / CRM,,,"Accessoires de caisse (comme une imprimante à reçus, un lecteur de code-barres, etc.)",,Système de point de vente,,,,rien a signaler en particulier juste domage que je ne puisse pas raccorder le tpe pour  imprimer les recu a ma caisse jdc,non pour moi sa me suffit
2019-06-03 07:54:31 UTC,2019-06-03 07:56:49 UTC,completed,ios,Safari 11.0,792dbde0-6575-11e8-81a0-1e560204d4a9,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Quelqu'un m'a recommandé iZettle,10,10,5,3,4,4,5,5,5,5,5,5,,Outils de suivi et d'analyse des ventes,Fonction de gestion de la fidélisation / CRM,,,,,,,,,Non,Crm
2019-06-03 15:51:35 UTC,2019-06-03 16:27:09 UTC,completed,ios,Chrome 74.0.3729.155,f0fd05a0-673d-11e8-867a-572847dada41,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Quelqu'un m'a recommandé iZettle,5,6,5,3,3,2,5,3,2,3,3,3,,,,Outils comptables,,,Facturation,Système de point de vente,,,,"Ne correspond pas à la demandé des petite restaurant qui utilises les toppings comme Bubble thé , tacos , yaourt  et autres....
Le  plus gros problème pour mon activité de gaufre à la demande et le regroupement des items !!!

Le besoin pour mon activité et de voir les commandes personnalisée part les clients .car l’utilisation des chiffres et trop compliqué et fait perde un temps important à la productivité .
Facile et lisible voir Exemple

- Bubble thé
Verveine 
Jasmin
Tapioca 

-Bubble thé
Jasmin
Tapioca 

- bubble thé 
Verveine
Tapioca
Mongo bubble 

c’est vraiment dommage de ne pas avoir une option aussi simple.",Voir tout les mots de la commande apparaît sans aucun regroupement items avec possibilité de mettre des mots en entête + toppings .
2019-06-03 15:56:29 UTC,2019-06-03 16:00:01 UTC,completed,android,Chrome 70.0.3538.80,a7e3d076-3e8b-11e9-a939-5f7a21d948a6,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Recherche internet (Google),10,10,5,5,5,5,5,5,5,5,5,NA,Outils de gestion des stocks,,,,,,,Système de point de vente,Lecteur de carte,,,"Tout est parfait, je le recommande.",Aucune
2019-06-03 16:02:08 UTC,2019-06-03 16:04:32 UTC,completed,android,Chrome 73.0.3683.75,e823fbb0-675a-11e8-af66-466d510bcf10,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Publicité sur internet,6,6,3,2,2,2,2,2,2,2,2,2,Outils de gestion des stocks,Outils de suivi et d'analyse des ventes,Fonction de gestion de la fidélisation / CRM,Outils comptables,Outils de gestion du personnel,"Accessoires de caisse (comme une imprimante à reçus, un lecteur de code-barres, etc.)",Facturation,Système de point de vente,,,,P,Facturation
2019-06-03 16:33:25 UTC,2019-06-03 16:37:06 UTC,completed,ios,Safari 12.1,6a880d20-6653-11e8-a707-9f33f8a2e2f8,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,"J'ai utilisé, ou vu quelqu'un utiliser iZettle pour acheter quelque chose",10,10,5,5,5,5,5,5,NA,NA,5,NA,,,,,,,,,Lecteur de carte,,,"J’ai acheté un premier terminal 19€
le second etait en vente 19€ mais m’a ete facture environ 60€",c’est ok
2019-06-03 19:02:34 UTC,2019-06-03 19:05:03 UTC,completed,windows,Chrome 74.0.3729.169,d777d6fc-3f1c-11e9-b472-f77a20286c25,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Recherche internet (Google),8,10,5,3,5,5,5,5,5,5,1,NA,,,Fonction de gestion de la fidélisation / CRM,,,,,,,,,Pas satisfait du délai de réponse aux e-mails quand mon lecteur a été déterioré : 10 jours.,Aucune
2019-06-03 19:18:19 UTC,2019-06-03 19:21:47 UTC,completed,android,Chrome 67.0.3396.87,e2275f38-3f02-11e9-935d-41100650dc5f,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Recherche internet (Google),10,10,5,3,5,5,5,5,5,5,5,NA,Outils de gestion des stocks,,Fonction de gestion de la fidélisation / CRM,,,"Accessoires de caisse (comme une imprimante à reçus, un lecteur de code-barres, etc.)",,,,,,Pas d'offre de parrainage,Ras
2019-06-03 21:14:28 UTC,2019-06-03 21:17:24 UTC,completed,ios,Safari 12.1,61f0a748-3f61-11e9-af21-df4f19c93a7f,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Recherche internet (Google),8,9,4,3,4,4,4,4,4,4,4,NA,,,,,,,,,,Aucune des réponses ci-dessus,,Rien pour l’instant,RAS
2019-06-03 21:30:48 UTC,2019-06-03 21:33:05 UTC,completed,mac,Safari 12.1.1,8f92ce96-3f8a-11e9-90f8-813942a88878,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Quelqu'un m'a recommandé iZettle,9,9,4,3,3,4,4,4,4,4,4,NA,,,,,,,,,,Aucune des réponses ci-dessus,,Néant,Néant
2019-06-04 01:33:47 UTC,2019-06-04 01:38:00 UTC,completed,mac,Safari 12.1,84132b50-6755-11e8-a15f-f4c7650ddaed,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Recherche internet (Google),9,9,5,4,4,4,4,4,NA,4,NA,NA,,,,,,"Accessoires de caisse (comme une imprimante à reçus, un lecteur de code-barres, etc.)",Facturation,,,,,J'aurais préféré que les frais soient regroupés dans un débit mensuel séparés des crédits pour faciliter la comptabilité.,Pas pour l'instant
2019-06-04 15:38:25 UTC,2019-06-04 15:40:48 UTC,completed,ios,Safari 12.1.1,c0ced720-6830-11e8-8529-be289554a710,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Recherche internet (Google),10,10,5,4,3,4,5,5,5,5,5,NA,,,Fonction de gestion de la fidélisation / CRM,,,,,,,,,'-,'-
2019-06-04 16:12:25 UTC,2019-06-04 16:15:01 UTC,completed,android,Chrome 67.0.3396.87,233aee70-6805-11e8-ab77-79c242b3c719,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Publicité sur internet,10,9,5,3,5,5,5,5,5,5,5,5,,,,,,,,,Lecteur de carte,,,Tout va bien,Aucune a mon avis
2019-06-04 19:24:09 UTC,2019-06-04 19:27:01 UTC,completed,android,Chrome 74.0.3729.157,5ecda56c-404b-11e9-aa42-85cfc70c0419,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Recherche internet (Google),10,9,5,4,4,4,5,5,3,2,3,1,,,,,,"Accessoires de caisse (comme une imprimante à reçus, un lecteur de code-barres, etc.)",,,,,,Imprimante encore trop cher plus le consommable,
2019-06-04 19:34:09 UTC,2019-06-04 19:38:14 UTC,completed,android,Chrome 74.0.3729.157,09493140-67ea-11e8-a9dc-3f75a0ed6fe0,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Quelqu'un m'a recommandé iZettle,9,10,5,5,5,5,5,5,5,5,5,5,,,,,,,,,Lecteur de carte,,,Très bon système,Rien à ajouter
2019-06-04 19:39:45 UTC,2019-06-04 19:42:52 UTC,completed,android,Chrome 67.0.3396.87,267ec46a-402e-11e9-b1ac-ec032fdbb990,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Réseaux sociaux,8,8,3,3,4,3,4,4,4,4,NA,NA,,,,Outils comptables,,,,,,,,l appareil est long a se connecter a l application,pas d avis
2019-06-04 20:16:17 UTC,2019-06-04 20:18:25 UTC,completed,mac,Safari 12.1.1,b435f944-3f2b-11e9-9379-e65622b105b0,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Recherche internet (Google),9,9,NA,4,5,5,5,5,5,5,5,5,,,,,,,,,,Aucune des réponses ci-dessus,,Pour l'instant non,J'ai pris ce compte pour ses fonctionnalités qui me conviennent
2019-06-04 21:54:56 UTC,2019-06-04 21:58:21 UTC,completed,android,Chrome 67.0.3396.87,60102f20-403d-11e9-a533-4cd7942fade0,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Recherche internet (Google),9,9,4,4,4,5,5,5,4,NA,5,NA,Outils de gestion des stocks,,,,,"Accessoires de caisse (comme une imprimante à reçus, un lecteur de code-barres, etc.)",,,,,,Non,Non
2019-06-05 01:17:17 UTC,2019-06-05 01:19:53 UTC,completed,ios,Safari 12.1.1,640d7d52-3fda-11e9-ae60-2cf4b138ae03,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Recherche internet (Google),8,8,4,2,4,4,4,4,4,4,4,NA,,,,,,,,,,Aucune des réponses ci-dessus,,Les frais devraient être degressif,Rien à signaler
2019-06-05 15:24:54 UTC,2019-06-05 15:32:01 UTC,completed,ios,Safari 12.1.1,b2f00600-68a4-11e8-a010-24e322239b98,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Recherche internet (Google),7,7,4,3,3,3,4,4,3,3,2,2,Outils de gestion des stocks,,Fonction de gestion de la fidélisation / CRM,,,,,Système de point de vente,,,,"Quand j’ai commencé vous m’avIez indiquer être en passer d’etre Conforme avec la réglementation de caisses enregistreuse ... un an après ce n’est Pas le cas ! En plus quand j’ai demandé à  votre support il m’a conseillé d’aller voir la concurrence !! Bizarre non ...
Il faut que je trouve le temps mais pourquoi pas !",Voir précédemment
2019-06-05 15:29:32 UTC,2019-06-05 15:32:09 UTC,completed,ios,Safari 11.0,d7b896c0-6893-11e8-a97f-7a29ae44f175,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,"J'ai utilisé, ou vu quelqu'un utiliser iZettle pour acheter quelque chose",8,8,4,4,4,5,5,4,3,4,4,3,,,,,,,,,Lecteur de carte,,,Ras,Non
2019-06-05 15:36:19 UTC,2019-06-05 15:40:53 UTC,completed,android,Chrome 74.0.3729.157,08ee1d40-68cc-11e8-8622-460fefc0551a,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Recherche internet (Google),10,10,5,3,5,5,5,5,5,5,5,NA,,Outils de suivi et d'analyse des ventes,,Outils comptables,,"Accessoires de caisse (comme une imprimante à reçus, un lecteur de code-barres, etc.)",,Système de point de vente,,,,Non,Non
2019-06-05 15:54:18 UTC,2019-06-05 15:59:39 UTC,completed,windows,Firefox 67.0,7da5a070-68a1-11e8-a912-f2de44e53be1,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,je ne me souviens plus,8,9,4,3,4,4,5,5,4,4,NA,NA,,,,,,,,,,Aucune des réponses ci-dessus,,plus de communication peut-être,aucune
2019-06-05 18:39:04 UTC,2019-06-05 18:42:00 UTC,completed,mac,Safari 12.1.1,5663b600-68d8-11e8-8fcc-4ec491ae17a7,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Recherche internet (Google),9,9,5,3,4,NA,4,4,2,4,NA,NA,,,,,,"Accessoires de caisse (comme une imprimante à reçus, un lecteur de code-barres, etc.)",,,Lecteur de carte,,,rien,Non
2019-06-05 19:16:34 UTC,2019-06-05 19:24:18 UTC,completed,android,Chrome 67.0.3396.87,ba2fbf90-68b9-11e8-8c5c-7e42d873b3b5,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,"J'ai utilisé, ou vu quelqu'un utiliser iZettle pour acheter quelque chose",9,10,4,3,4,4,5,4,4,4,NA,NA,,,Fonction de gestion de la fidélisation / CRM,Outils comptables,,"Accessoires de caisse (comme une imprimante à reçus, un lecteur de code-barres, etc.)",Facturation,,,,,"Pour des raisons inconnus, le boîtier et mon portable ne se connectent pas. Je recommence la procédure de connection.",Factures et fidélisation
2019-06-05 19:29:04 UTC,2019-06-05 19:31:12 UTC,completed,mac,Safari 12.1.1,ef6ef0d2-40cb-11e9-869b-dfaa9aaa06b5,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Quelqu'un m'a recommandé iZettle,10,10,4,4,5,5,5,5,4,4,NA,NA,,,Fonction de gestion de la fidélisation / CRM,,,,,,,,,Les frais de virements,L'archivage et la gestion de la fidélité des clients via leur adresse mail
2019-06-05 20:27:35 UTC,2019-06-05 20:31:17 UTC,completed,ios,Safari 12.1.1,354c82f4-4121-11e9-a172-26e51ad4cb10,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Recherche internet (Google),9,10,4,2,5,4,5,5,4,5,4,NA,,,,,,,,,Lecteur de carte,,,Je pensais que Le pourcentage des frais par rapport aux ventes devaient se faire sur le total du mois,Ras
2019-06-05 21:39:36 UTC,2019-06-05 21:43:44 UTC,completed,android,Chrome 74.0.3729.157,d310bec0-6881-11e8-9a7f-2d03cb21b4fe,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Quelqu'un m'a recommandé iZettle,9,9,5,5,4,4,4,4,4,4,4,4,,,,Outils comptables,,,Facturation,,Lecteur de carte,,,Dommage c'est cher les tickets pour les clients.,.
2019-06-05 22:15:45 UTC,2019-06-05 22:21:35 UTC,completed,ios,Safari 12.1.1,cb18a240-671a-11e8-aea3-48fdd6f6c0c3,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Recherche internet (Google),5,5,3,3,4,3,4,4,2,3,3,3,,,,Outils comptables,,,,,,,,Mode de paiement différent style chèque vacances ou autres paiements,Plusieurs modes de paiements
2019-06-06 00:02:15 UTC,2019-06-06 00:09:30 UTC,completed,android,Chrome 74.0.3729.157,192d46da-40e5-11e9-ba4d-e766cb7abf2a,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Réseaux sociaux,7,8,5,3,4,4,3,5,3,3,NA,NA,,,,,,"Accessoires de caisse (comme une imprimante à reçus, un lecteur de code-barres, etc.)",,,,,,Manque de synchronisation entre les articles créés sur le téléphone et le compte sur pc... Obligé de récréer des articles sur le pc pour les avoir sur le téléphone et le contraire ne marche pas...,Réponse dans la question précédente
2019-06-06 01:37:46 UTC,2019-06-06 01:39:52 UTC,completed,android,Chrome 74.0.3729.157,41e13b60-40c0-11e9-ac58-ff976e5c9b13,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Recherche internet (Google),8,8,4,2,4,4,4,4,4,4,4,4,,Outils de suivi et d'analyse des ventes,Fonction de gestion de la fidélisation / CRM,,,,,,,,,Coût transaction. Chargeur non inclus.,Non
2019-06-06 07:30:15 UTC,2019-06-06 07:33:20 UTC,completed,mac,Safari 11.1.2,f67b4fe0-68a1-11e8-81d1-2048e191e23c,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Recherche internet (Google),8,8,4,3,3,3,3,3,3,3,NA,NA,,,,,,,,,,Aucune des réponses ci-dessus,,NA,NA
